분류|대출건수합계|평균대출건수
813.6|386770|24.89
843|261103|19.51
833.6|164999|28.72
813.8|100574|14.58
818|77206|9.44
863|72265|17.96
813.7|62452|7.54
327.856|47835|31.66
325.04|45802|17.45
199.1|44128|13.29
747|40765|22.56
808|39385|17.04
853|36452|15.75
688.2|36082|10.92
813.7|33521|10.87
325.1|30298|10.0
814.6|29298|9.06
327.87|27510|25.28
740.77|26023|50.63
325.211|25637|12.4
909|24435|14.79
747.5|24426|20.66
823.7|22579|20.49
327.04|22093|24.22
823.5|22056|33.02
980.24|20930|24.25
375.1|20856|14.46
833.6|20740|19.53
911|20274|11.69
843.6|19949|8.72
911.05|19277|14.23
594.5|19149|16.77
373.4|18845|25.19
598.1|18437|12.08
811.6|18322|4.85
189|18088|15.15
566.76|17970|26.2
848|17439|14.17
833.8|17278|15.39
802|17011|12.4
408|16693|13.1
981.102|16013|15.34
327.8|15584|24.46
745|15574|20.36
816.6|15540|17.52
327.85|15219|33.01
410|14827|14.95
744|13438|21.89
813.6|13413|11.81
981.302|13050|33.46
843.6|12406|11.55
367.564|11667|37.88
340.99|11150|10.74
688.2|10854|11.67
843.0|10791|12.39
186.5|10755|15.93
512.57|10645|14.95
808.3|10585|12.83
814.7|10495|6.89
404|10430|15.64
818.0|10396|7.44
566.83|10260|37.86
234.8|9933|11.66
873|9882|13.35
813.8|9852|12.53
740.7|9559|20.34
325.211|9472|12.25
327.83|9453|29.18
912|9211|11.06
838|9128|14.68
595.4|9042|28.7
813.608|8653|17.2
517.3|8620|16.87
331.5|8463|8.6
320|8441|13.03
378.9|8389|10.7
511.1813|8310|19.19
808.9|8243|15.85
325.5|8187|13.4
883|8161|14.89
031|8109|13.19
188.5|8092|21.29
325.3|8091|8.75
182.2|8084|20.26
650.4|8041|14.28
909.0|7820|26.69
326.16|7806|11.76
004.73|7797|12.24
325.9|7784|14.39
325.21|7712|11.16
005.133|7651|15.58
320.4|7591|21.5
658|7590|15.91
325.555|7493|19.26
340.911|7489|5.61
325.337|7441|34.13
982.02|7388|22.05
181.3|7334|19.1
320.1|7308|14.0
892.8|7149|14.86
512.54|7122|14.27
980.2|7092|18.91
859.7|7000|17.41
879|6955|38.21
219.21|6944|26.01
711.47|6777|29.09
199.1|6750|11.82
863.0|6720|11.87
388.311|6708|14.81
843.5|6705|12.46
001.3|6703|9.97
737|6684|19.37
593.5|6646|19.21
331.54|6633|10.73
327.87|6629|34.89
029.4|6595|14.82
650.99|6576|15.36
811.7|6569|2.03
662|6559|25.23
186.3|6507|15.24
104|6496|9.36
566.8133|6487|20.99
808.0|6432|11.11
029.8|6315|10.07
181.71|6195|14.47
594.51|6164|13.14
657.1|6152|18.04
740|6080|15.67
834|5942|15.2
843.5|5874|17.91
181.7|5868|11.6
573.93|5859|32.55
594.71|5751|16.34
100|5732|11.51
327.2|5656|16.68
688.6|5629|9.59
420|5518|12.92
005.11|5509|13.64
400|5488|12.28
325.24|5449|8.69
005.56|5347|32.8
185.5|5338|15.52
321.97|5288|11.86
922|5264|28.92
814.7|5254|6.33
189.2|5212|9.05
592.27|5143|16.7
811.7|5120|2.61
331.5412|5104|9.42
746|5046|18.22
740.76|5036|33.13
727|4993|15.41
410.8|4986|31.56
329.4|4915|9.58
180|4903|14.38
517.32|4880|16.49
892.1|4877|19.2
727.5|4864|17.37
220.4|4812|10.6
598.10212|4808|25.57
189.0|4793|18.94
320.911|4771|8.06
601|4733|15.22
166.8|4666|14.49
566.843|4578|16.18
695.8|4559|16.95
737.5|4479|18.98
844|4445|11.06
802.5|4437|13.09
911.05|4420|17.4
911.0|4417|15.5
594.019|4397|19.46
325.099|4384|14.81
539.9|4324|6.92
990|4313|9.38
823.5|4297|22.86
813.5|4253|7.72
566.813|4193|16.25
327.856|4184|37.69
843.08|4137|42.21
326.165|4115|14.75
189.1|4056|7.8
811.8|4054|7.8
911.06|4053|6.79
325.1|4009|11.45
005.118|3985|18.45
165.77|3952|18.55
199.5|3928|9.7
747.2|3911|15.9
595.4|3847|23.46
304|3825|9.13
410.0|3824|21.13
340.1|3779|10.5
741.1|3775|34.95
920|3753|15.19
443.1|3736|10.44
991.1|3709|5.88
730|3708|18.63
1.3|3680|14.21
740.77|3636|30.3
005.138|3601|16.0
373|3601|9.0
594.5|3593|13.36
609|3587|13.8
517.52|3579|13.56
747.5|3575|15.08
980.24|3573|20.65
331.1|3570|11.98
082|3570|7.27
609.2|3568|19.71
326.162|3561|15.55
340.4|3547|6.01
309.111|3546|6.4
029.1|3502|9.29
365|3485|15.63
853.0|3483|12.95
842|3471|13.72
823.7|3455|15.36
598.1|3439|8.0
160|3405|11.5
327.04|3391|21.19
331.541|3375|7.43
380.911|3355|6.64
325.8|3352|10.95
235.2|3335|11.01
802.3|3312|15.48
911.059|3305|5.3
823.2|3300|60.0
911.07|3291|9.27
005.1|3279|13.22
182.12|3268|20.17
181.4|3252|24.82
381.75|3245|9.12
691.2|3227|18.23
403|3223|20.27
982.702|3186|28.96
717.6|3185|9.65
325.555|3169|24.95
981.202|3148|14.99
476.01|3140|22.43
410.4|3125|17.08
651|3111|15.63
181.53|3108|15.31
199.8|3105|8.6
816.7|3105|7.19
148.3|3099|13.19
331.18|3097|11.02
593.2|3093|18.86
430|3088|14.43
573.2|3058|15.06
670.99|3045|9.58
004.76|3039|14.2
321.329|3030|23.31
005.53|3026|25.01
802.0|3021|11.07
325.21|3018|14.04
634.9|3017|15.16
813.6082|3012|23.35
511.1|3001|17.65
325.571|2998|15.07
338|2988|10.95
141.2|2986|19.14
224.3|2977|10.59
834.0|2943|24.73
653.11|2930|10.17
636.3|2929|28.44
005.135|2915|19.3
234.3|2885|11.82
325.26|2876|11.79
370.4|2858|6.03
517.54|2842|19.6
188.1|2837|38.34
513.994|2832|11.11
811.609|2829|3.66
337.1|2824|8.43
859.82|2797|15.04
155.9|2780|20.44
233|2773|10.05
942|2771|15.06
325.93|2760|24.86
639.5|2720|16.48
981.302|2689|36.84
160.23|2662|17.87
990.94|2639|10.27
029|2636|10.5
809|2622|6.41
688.09|2621|9.23
594.54|2617|18.17
377.7|2605|13.5
331.544|2587|11.3
911.03|2582|10.8
656|2581|21.87
913|2579|12.52
188.4|2577|10.6
747.2|2577|16.21
911.6|2574|9.29
320.9|2566|15.55
409|2565|9.23
326.14|2556|7.84
373.4|2555|22.41
730.77|2548|42.47
859.3|2546|12.6
219|2541|11.24
817|2537|13.42
670.15|2531|13.11
349|2527|8.99
327.94|2514|22.65
321.32|2511|10.29
230.99|2511|7.77
810.906|2501|2.63
001.308|2500|50.0
592.3|2491|28.97
711.4|2490|11.75
170|2462|11.4
813.609|2456|3.66
551.151|2455|14.27
187|2438|18.61
185.51|2423|17.43
720|2415|11.39
688.13|2411|17.35
331|2411|8.64
332.2|2406|9.05
982.602|2406|25.87
833.8|2405|15.82
539.7|2404|7.37
408.0|2394|24.18
512.5156|2370|17.95
5.11|2362|15.24
617|2361|18.74
219.2|2360|25.93
990.8|2354|8.53
609.11|2336|9.2
510.4|2336|10.87
325.5|2332|12.67
868|2332|13.72
470|2319|13.18
660.4|2305|16.12
407.0|2297|51.04
670.4|2289|10.26
747.0|2284|11.03
811.608|2271|5.95
363|2256|9.17
199|2246|11.46
321.55|2245|6.24
802.54|2240|14.74
594.504|2239|23.57
367.564|2235|38.53
652.52|2229|28.95
813.6081|2223|21.17
519|2221|11.05
325.04|2218|11.8
892.67|2211|19.92
610.911|2210|11.11
981.4402|2203|36.11
566.575|2203|12.1
404.0|2202|18.5
